,title,authors,where_published,year,doi
67,Are depressive symptoms linked to a reduced pupillary response to novel positive information?-An eye tracking proof-of-concept study,"Spaeth AM, Koenig S, Everaert J, Glombiewski JA, Kube T.",Front Psychol,2024,10.3389/fpsyg.2024.1253045
68,Transcutaneous auricular vagus nerve stimulation modulates the processing of interoceptive prediction error signals and their role in allostatic regulation,"Ventura-Bort C, Weymar M.",Hum Brain Mapp,2024,10.1002/hbm.26613
69,A novel model of divergent predictive perception,"Reeder RR, Sala G, van Leeuwen TM.",Neurosci Conscious,2024,10.1093/nc/niae006
70,What Predicts Beneficial Outcomes in Psychedelic Use? A Quantitative Content Analysis of Psychedelic Health Outcomes,"Acevedo EC, Uhler S, White KP, Al-Shawaf L.",J Psychoactive Drugs,2024,10.1080/02791072.2024.2314729
71,Learned response dynamics reflect stimulus timing and encode temporal expectation violations in superficial layers of mouse V1,"Knudstrup SG, Martinez C, Gavornik JP.",bioRxiv,2024,10.1101/2024.01.20.576433
72,Altered hierarchical auditory predictive processing after lesions to the orbitofrontal cortex,"Asko O, Blenkmann AO, Leske SL, Foldal MD, LLorens A, Funderud I, Meling TR, Knight RT, Endestad T, Solbakk AK.",Elife,2024,10.7554/eLife.86386
73,Learning within a sensory-motor circuit links action to expected outcome,"Zhou W, Schneider DM.",bioRxiv,2024,10.1101/2024.02.08.579532
74,Autistic traits and event-related potentials in the general population: A scoping review and meta-analysis,"Mazer P, Garcez H, Macedo I, Pasion R, Silveira C, Sempf F, Ferreira-Santos F.",Biol Psychol,2024,10.1016/j.biopsycho.2024.108758
75,Self-initiation enhances perceptual processing of auditory stimuli in an online study,"Kiepe F, Kraus N, Hesselmann G.",Atten Percept Psychophys,2024,10.3758/s13414-023-02827-w
76,The locus coeruleus as a global model failure system,Jordan R.,Trends Neurosci,2024,10.1016/j.tins.2023.11.006
77,Learning beyond sensations: How dreams organize neuronal representations,"Deperrois N, Petrovici MA, Senn W, Jordan J.",Neurosci Biobehav Rev,2024,10.1016/j.neubiorev.2023.105508
78,The empirical status of predictive coding and active inference,"Hodson R, Mehta M, Smith R.",Neurosci Biobehav Rev,2024,10.1016/j.neubiorev.2023.105473
79,Generating meaning: active inference and the scope and limits of passive AI,"Pezzulo G, Parr T, Cisek P, Clark A, Friston K.",Trends Cogn Sci,2024,10.1016/j.tics.2023.10.002
80,Verbal working memory capacity modulates semantic and phonological prediction in spoken comprehension,"Li X, Qu Q.",Psychon Bull Rev,2024,10.3758/s13423-023-02348-5
81,Are there independent effects of constraint and predictability on eye movements during reading?,"Wong R, Veldre A, Andrews S.",J Exp Psychol Learn Mem Cogn,2024,10.1037/xlm0001206
82,Metacognitive Feelings: A Predictive-Processing Perspective,"Fernández Velasco P, Loev S.",Perspect Psychol Sci,2024,10.1177/17456916231221976
83,"Fluency, prediction and motivation: how processing dynamics, expectations and epistemic goals shape aesthetic judgements","Yoo J, Jasko K, Winkielman P.",Philos Trans R Soc Lond B Biol Sci,2024,10.1098/rstb.2023.0326
84,A hole in a piece of cardboard and predictive brain: the incomprehension of modern art in the light of the predictive coding paradigm,Kesner L.,Philos Trans R Soc Lond B Biol Sci,2024,10.1098/rstb.2022.0417
85,Predicting instabilities: an embodied perspective on unstable experiences with art and design,"Muth C, Carbon CC.",Philos Trans R Soc Lond B Biol Sci,2024,10.1098/rstb.2022.0416
86,Metaphors or mechanism? Predictive coding and a (brief) history of empirical study of the arts,"Leder H, Pelowski M.",Philos Trans R Soc Lond B Biol Sci,2024,10.1098/rstb.2022.0427
87,The impact of crossmodal predictions on the neural processing of aesthetic stimuli,"Tiihonen M, Haumann NT, Shtyrov Y, Vuust P, Jacobsen T, Brattico E.",Philos Trans R Soc Lond B Biol Sci,2024,10.1098/rstb.2022.0418
88,Being alive to the world: an artist's perspective on predictive processing,Pepperell R.,Philos Trans R Soc Lond B Biol Sci,2024,10.1098/rstb.2022.0429
89,The aesthetic valve: how aesthetic appreciation may switch emotional states from anxiety to curiosity,"Barbieri P, Sarasso P, Lodico F, Aliverti A, Murayama K, Sacco K, Ronga I.",Philos Trans R Soc Lond B Biol Sci,2024,10.1098/rstb.2022.0413
90,Parallelisms and deviations: two fundamentals of an aesthetics of poetic diction,"Menninghaus W, Wagner V, Schindler I, Knoop CA, Blohm S, Frieler K, Scharinger M.",Philos Trans R Soc Lond B Biol Sci,2024,10.1098/rstb.2022.0424
91,Designs on consciousness: literature and predictive processing,Kukkonen K.,Philos Trans R Soc Lond B Biol Sci,2024,10.1098/rstb.2022.0423
92,Cultivating creativity: predictive brains and the enlightened room problem,"Constant A, Friston KJ, Clark A.",Philos Trans R Soc Lond B Biol Sci,2024,10.1098/rstb.2022.0415
93,Perceptual oddities: assessing the relationship between film editing and prediction processes,"Drew A, Soto-Faraco S.",Philos Trans R Soc Lond B Biol Sci,2024,10.1098/rstb.2022.0426
94,Modelling individual aesthetic judgements over time,"Brielmann AA, Berentelg M, Dayan P.",Philos Trans R Soc Lond B Biol Sci,2024,10.1098/rstb.2022.0414
95,"Surfing uncertainty with screams: predictive processing, error dynamics and horror films","Miller M, White B, Scrivner C.",Philos Trans R Soc Lond B Biol Sci,2024,10.1098/rstb.2022.0425
96,Cognitive and sensory expectations independently shape musical expectancy and pleasure,"Cheung VKM, Harrison PMC, Koelsch S, Pearce MT, Friederici AD, Meyer L.",Philos Trans R Soc Lond B Biol Sci,2024,10.1098/rstb.2022.0420
97,Order and change in art: towards an active inference account of aesthetic experience,"Van de Cruys S, Frascaroli J, Friston K.",Philos Trans R Soc Lond B Biol Sci,2024,10.1098/rstb.2022.0411
